,left
8060,False
8868,False
6681,False
7334,False
10979,False
10221,False
11247,False
8627,False
2643,False
1963,True
2074,False
6256,False
4831,False
2210,False
2288,False
9242,False
3173,False
8379,False
8829,False
8917,False
3751,False
6819,False
10304,False
11796,False
8989,False
6114,False
1456,True
11362,False
11809,False
6959,False
4475,False
1096,True
6026,False
3069,False
1584,True
2451,False
10322,False
11320,False
11496,False
9583,False
2832,False
2082,False
5045,False
3194,False
1154,True
8875,False
3424,False
7064,False
9843,False
5154,False
6334,False
5200,False
4433,False
1585,True
6896,False
7190,False
3815,False
10207,False
4880,False
11822,False
4457,False
8342,False
11630,False
3840,False
11279,False
10108,False
1055,True
11173,False
3947,False
9989,False
6818,False
1899,True
2256,False
4421,False
1458,True
4179,False
6498,False
4019,False
836,True
9852,False
4619,False
10946,False
5016,False
1815,True
8436,False
4338,False
6372,False
3517,False
11538,False
7560,False
4920,False
8585,False
2754,False
11316,False
7853,False
7189,False
7483,False
11434,False
2510,False
11288,False
1015,True
10951,False
6715,False
1933,True
7808,False
8621,False
10374,False
9819,False
5058,False
148,True
8550,False
5345,False
6645,False
1665,True
7755,False
11512,False
5302,False
4545,False
7655,False
5989,False
3256,False
11134,False
5756,False
8434,False
7813,False
2456,False
774,True
8353,False
7563,False
10315,False
8137,False
9940,False
6556,False
964,True
4839,False
7826,False
72,True
11792,False
298,True
10420,False
2760,False
9287,False
7865,False
7484,False
3147,False
5605,False
6397,False
4030,False
10768,False
11622,False
5355,False
2472,False
1875,True
7366,False
5746,False
6493,False
4308,False
413,True
8459,False
10228,False
5910,False
8047,False
4698,False
6571,False
2015,False
5474,False
2535,False
7333,False
6254,False
2879,False
420,True
10387,False
8615,False
7198,False
291,True
1030,True
3376,False
7582,False
5410,False
6131,False
3317,False
11531,False
11238,False
7812,False
5424,False
765,True
11707,False
805,True
1073,True
2758,False
11993,False
5374,False
8560,False
6045,False
2855,False
4171,False
1699,True
4747,False
3206,False
4243,False
3651,False
1039,True
5386,False
10873,False
6430,False
1218,True
10349,False
9237,False
6636,False
4828,False
1014,True
2040,False
6484,False
1346,True
4016,False
10468,False
5617,False
4918,False
2850,False
39,True
8395,False
4266,False
10520,False
8506,False
2338,False
1618,True
10251,False
10882,False
3628,False
4076,False
5109,False
3647,False
4466,False
10712,False
11216,False
4605,False
1888,True
10750,False
10614,False
5322,False
9475,False
8219,False
6587,False
4114,False
972,True
301,True
11180,False
6423,False
8375,False
3167,False
10435,False
203,True
11014,False
656,True
6806,False
7434,False
5865,False
10101,False
11368,False
7586,False
4717,False
7408,False
4872,False
9418,False
6655,False
8533,False
10182,False
2524,False
7500,False
4220,False
2582,False
6128,False
185,True
4181,False
8019,False
10410,False
3138,False
11691,False
6479,False
2993,False
6568,False
2419,False
2155,False
4061,False
11607,False
11894,False
3481,False
4639,False
10082,False
1300,True
6299,False
10201,False
1386,True
10985,False
1431,True
627,True
1525,True
1647,True
8659,False
6265,False
9607,False
9020,False
385,True
566,True
549,True
5598,False
7449,False
11821,False
5064,False
2873,False
9741,False
4074,False
8492,False
8730,False
8163,False
2050,False
1245,True
10567,False
180,True
6211,False
9085,False
6809,False
3837,False
3192,False
6551,False
3313,False
9766,False
610,True
3029,False
3881,False
11333,False
4905,False
1570,True
5223,False
3311,False
7010,False
6578,False
7554,False
8377,False
5353,False
3985,False
9060,False
2484,False
6501,False
8470,False
4277,False
3195,False
10823,False
4278,False
11460,False
8771,False
7457,False
5668,False
9732,False
1762,True
6552,False
9790,False
4933,False
10701,False
734,True
3994,False
6092,False
5857,False
2940,False
389,True
8156,False
7559,False
4585,False
1130,True
5326,False
6964,False
4825,False
7495,False
11331,False
1849,True
8777,False
7091,False
11889,False
10883,False
10845,False
11135,False
11690,False
1589,True
3113,False
8860,False
7423,False
1621,True
8042,False
8607,False
7320,False
5573,False
7235,False
2538,False
1408,True
9301,False
11826,False
10758,False
4147,False
2619,False
3712,False
5629,False
2902,False
6802,False
1553,True
5611,False
269,True
11705,False
603,True
2458,False
8500,False
2068,False
2572,False
9077,False
4858,False
6037,False
5001,False
3541,False
9225,False
888,True
803,True
2445,False
3951,False
527,True
9402,False
10588,False
3239,False
1603,True
4159,False
5097,False
9771,False
8203,False
9603,False
11474,False
11342,False
11011,False
3524,False
4886,False
810,True
8086,False
8159,False
6066,False
7164,False
7003,False
9113,False
5888,False
2466,False
4333,False
7615,False
9017,False
7369,False
9462,False
1637,True
2415,False
6801,False
3392,False
1305,True
6495,False
7077,False
3970,False
10083,False
4206,False
225,True
5921,False
8062,False
10941,False
296,True
4217,False
5816,False
79,True
11692,False
618,True
84,True
971,True
2728,False
8555,False
9946,False
612,True
2772,False
9455,False
9226,False
5534,False
7798,False
11615,False
1691,True
7120,False
3975,False
2916,False
9437,False
3958,False
1297,True
1847,True
4648,False
10654,False
2285,False
5856,False
7504,False
8586,False
3326,False
9036,False
3639,False
8837,False
6764,False
7836,False
5435,False
11516,False
4856,False
6347,False
6797,False
5369,False
523,True
9530,False
1158,True
5759,False
11572,False
11864,False
7529,False
62,True
6663,False
10139,False
3059,False
3217,False
10881,False
5011,False
7225,False
11910,False
3946,False
7506,False
4231,False
3535,False
2568,False
6520,False
3835,False
11919,False
7877,False
11914,False
8126,False
739,True
2783,False
9849,False
10773,False
3455,False
9648,False
9058,False
6662,False
4393,False
6760,False
4744,False
3359,False
4515,False
11716,False
6875,False
9714,False
3427,False
3934,False
3008,False
8402,False
5084,False
11751,False
4762,False
9772,False
8134,False
4204,False
217,True
6576,False
6781,False
588,True
8404,False
5166,False
7226,False
4996,False
5464,False
1019,True
828,True
2867,False
1005,True
2416,False
10812,False
81,True
3620,False
10490,False
469,True
4743,False
4847,False
10219,False
10687,False
9504,False
1172,True
213,True
9873,False
2032,False
10464,False
7100,False
11441,False
8698,False
1444,True
4267,False
4298,False
7353,False
5795,False
287,True
5184,False
3410,False
11514,False
1263,True
6064,False
10235,False
5081,False
3261,False
9510,False
4889,False
10784,False
10098,False
7543,False
9626,False
6006,False
9669,False
8620,False
1286,True
9067,False
8943,False
4310,False
10818,False
1152,True
8210,False
4444,False
10383,False
2364,False
276,True
9307,False
11871,False
4783,False
5171,False
2,True
5757,False
5083,False
6095,False
10623,False
6233,False
9253,False
8317,False
10218,False
3214,False
2974,False
10080,False
1302,True
5225,False
1765,True
7417,False
1638,True
1249,True
7407,False
2470,False
1374,True
3818,False
5235,False
3683,False
1311,True
231,True
2552,False
688,True
9201,False
4888,False
9754,False
1533,True
7915,False
7416,False
10041,False
6879,False
11360,False
2376,False
5394,False
9149,False
5247,False
7006,False
878,True
3833,False
465,True
10891,False
11685,False
10958,False
9976,False
95,True
7565,False
9001,False
6592,False
11069,False
3200,False
575,True
3551,False
3872,False
11865,False
1062,True
5227,False
7194,False
11056,False
9536,False
5295,False
7520,False
1335,True
5825,False
7878,False
1199,True
2561,False
3391,False
948,True
10403,False
9975,False
5179,False
5208,False
9279,False
5124,False
11330,False
8587,False
5524,False
9261,False
8048,False
6360,False
7150,False
8299,False
7476,False
6857,False
9479,False
11373,False
6494,False
4428,False
8919,False
7321,False
11294,False
4152,False
6766,False
5284,False
7005,False
7159,False
10853,False
9382,False
8552,False
10449,False
5006,False
7767,False
9298,False
3578,False
6627,False
6898,False
2675,False
1596,True
7464,False
8278,False
5943,False
8380,False
10302,False
5008,False
7963,False
8101,False
2679,False
3504,False
5838,False
4269,False
6641,False
224,True
306,True
867,True
3493,False
7922,False
3499,False
2724,False
6532,False
3944,False
1239,True
9809,False
6272,False
2710,False
6458,False
7711,False
5752,False
709,True
1129,True
9514,False
5445,False
10907,False
10265,False
163,True
11285,False
8637,False
9010,False
11172,False
3919,False
7284,False
1131,True
11786,False
3943,False
5319,False
11738,False
10138,False
321,True
4733,False
6963,False
7870,False
2975,False
3665,False
5518,False
5388,False
10710,False
11184,False
782,True
4453,False
2786,False
2601,False
2230,False
4379,False
6569,False
7001,False
5761,False
10240,False
11341,False
7145,False
5847,False
5429,False
634,True
5061,False
6691,False
6549,False
9613,False
11412,False
2695,False
432,True
6775,False
9740,False
5985,False
9527,False
1227,True
5177,False
1225,True
11487,False
9177,False
8561,False
11651,False
2365,False
10050,False
6255,False
11117,False
2720,False
7733,False
4252,False
10851,False
9074,False
1166,True
10126,False
9628,False
5286,False
422,True
6852,False
10056,False
10136,False
10096,False
4124,False
5110,False
1334,True
685,True
11361,False
2427,False
871,True
5942,False
1090,True
3067,False
564,True
3760,False
978,True
10099,False
10728,False
9284,False
4438,False
10977,False
5960,False
3043,False
6861,False
11855,False
5460,False
6489,False
7134,False
8776,False
11907,False
11859,False
6741,False
10089,False
8082,False
8140,False
7857,False
11391,False
6225,False
4314,False
8022,False
5299,False
6773,False
8842,False
3960,False
1982,True
1659,True
10780,False
2186,False
7378,False
11409,False
1100,True
2273,False
5587,False
7730,False
6170,False
11616,False
10738,False
2637,False
3911,False
5113,False
5698,False
5482,False
3361,False
7668,False
4249,False
7527,False
1008,True
2158,False
6906,False
10250,False
3809,False
4929,False
1403,True
125,True
8682,False
8014,False
4525,False
3398,False
10249,False
5148,False
3418,False
4473,False
3323,False
94,True
11778,False
5314,False
110,True
7550,False
9604,False
7432,False
6842,False
11849,False
6616,False
3842,False
10896,False
2162,False
6286,False
7754,False
5697,False
4113,False
3691,False
7315,False
3794,False
11054,False
11467,False
2246,False
8700,False
5473,False
9645,False
8635,False
6854,False
1269,True
6907,False
11509,False
9668,False
2496,False
11469,False
1601,True
1086,True
11639,False
89,True
3411,False
4896,False
11492,False
165,True
3262,False
9092,False
9546,False
3439,False
3407,False
7344,False
8239,False
4186,False
8308,False
4331,False
3406,False
2205,False
4328,False
3607,False
1524,True
5731,False
9294,False
410,True
3123,False
2258,False
4254,False
5120,False
4066,False
3353,False
419,True
27,True
11275,False
2938,False
11576,False
5453,False
2617,False
8719,False
8169,False
9031,False
3454,False
5559,False
8120,False
3737,False
2528,False
4346,False
3405,False
8425,False
5702,False
4878,False
1735,True
7081,False
11066,False
11752,False
2039,False
2725,False
11256,False
10412,False
8153,False
10194,False
2961,False
10202,False
9280,False
9198,False
11551,False
2834,False
11277,False
9091,False
11785,False
931,True
833,True
3066,False
7613,False
4264,False
2752,False
3666,False
4726,False
4724,False
9442,False
3338,False
9311,False
1484,True
5472,False
4177,False
11902,False
1594,True
2117,False
8800,False
1168,True
538,True
8710,False
5775,False
522,True
6960,False
1235,True
9875,False
3636,False
7285,False
5095,False
1554,True
5153,False
10133,False
10972,False
4961,False
3245,False
7605,False
118,True
11905,False
7502,False
1515,True
1582,True
10407,False
9141,False
3479,False
2622,False
390,True
4866,False
11700,False
6038,False
10085,False
4110,False
142,True
3860,False
10185,False
9631,False
8198,False
7606,False
7128,False
3912,False
4595,False
4118,False
8574,False
2507,False
6976,False
7257,False
6236,False
11405,False
6391,False
9739,False
535,True
625,True
8633,False
9157,False
6585,False
2646,False
3670,False
58,True
6706,False
572,True
9753,False
9166,False
3899,False
9780,False
8804,False
10884,False
11729,False
11949,False
1149,True
5809,False
5082,False
9760,False
1369,True
5152,False
1800,True
9175,False
6002,False
164,True
29,True
11935,False
175,True
4491,False
4038,False
5088,False
4830,False
829,True
3991,False
5987,False
2726,False
1471,True
8785,False
9136,False
10749,False
4626,False
2072,False
1837,True
2083,False
7247,False
9460,False
8017,False
3075,False
9487,False
1622,True
104,True
162,True
4149,False
3767,False
7566,False
6206,False
4148,False
2355,False
8193,False
4155,False
10766,False
4365,False
11678,False
9139,False
5268,False
4806,False
10774,False
3196,False
4196,False
6463,False
8289,False
9561,False
9602,False
962,True
2202,False
9823,False
565,True
7954,False
6644,False
5282,False
2835,False
98,True
10666,False
6003,False
6414,False
7231,False
11582,False
11251,False
3513,False
10017,False
9344,False
3351,False
1098,True
4225,False
8401,False
6656,False
7451,False
10817,False
9962,False
10049,False
4153,False
3102,False
11236,False
7855,False
8309,False
4754,False
7807,False
4459,False
8618,False
6229,False
9054,False
5391,False
11278,False
416,True
10705,False
6629,False
942,True
7170,False
10754,False
689,True
8600,False
4795,False
5358,False
11088,False
4702,False
10102,False
7132,False
6709,False
3235,False
5786,False
10220,False
993,True
2814,False
4209,False
9932,False
6285,False
10116,False
733,True
6164,False
8982,False
3933,False
3557,False
10003,False
11207,False
11153,False
851,True
6386,False
906,True
2318,False
8638,False
5202,False
9887,False
10673,False
8161,False
8025,False
8391,False
11020,False
11986,False
9988,False
7654,False
8705,False
11952,False
622,True
5561,False
3149,False
6565,False
2234,False
9695,False
8674,False
6730,False
1462,True
6612,False
6428,False
9900,False
6988,False
9620,False
7507,False
8873,False
7472,False
10830,False
6421,False
5638,False
8497,False
5557,False
7906,False
4909,False
7328,False
4288,False
3431,False
5233,False
6227,False
8669,False
4570,False
2146,False
5239,False
510,True
8742,False
519,True
6,True
9686,False
5296,False
9007,False
11870,False
6815,False
7420,False
16,True
6574,False
2067,False
3525,False
613,True
22,True
8411,False
726,True
4327,False
8133,False
10680,False
7314,False
7761,False
2688,False
1025,True
8883,False
8665,False
3891,False
4859,False
8389,False
6219,False
10437,False
729,True
11699,False
11269,False
11967,False
9306,False
1810,True
3373,False
143,True
8929,False
2896,False
9608,False
7144,False
379,True
6665,False
11647,False
11970,False
1857,True
3473,False
4207,False
671,True
1489,True
3341,False
4523,False
3006,False
9836,False
10781,False
10280,False
2820,False
11664,False
6849,False
8913,False
8768,False
5338,False
8973,False
864,True
4494,False
166,True
1362,True
4460,False
11301,False
1414,True
9926,False
11041,False
10536,False
11335,False
10475,False
4718,False
6058,False
7621,False
1549,True
669,True
7499,False
7260,False
10868,False
11101,False
11663,False
9861,False
5,True
9517,False
8444,False
7435,False
2076,False
3438,False
7573,False
6067,False
5060,False
2516,False
1482,True
11931,False
11683,False
6189,False
4705,False
3355,False
954,True
1041,True
542,True
9826,False
2065,False
5620,False
2823,False
562,True
905,True
7485,False
10803,False
2193,False
7834,False
179,True
7833,False
5201,False
930,True
10405,False
5529,False
10605,False
809,True
599,True
9928,False
6232,False
11540,False
4731,False
6166,False
2383,False
3191,False
9539,False
6816,False
2312,False
6743,False
3507,False
11831,False
4591,False
11459,False
10626,False
886,True
6787,False
10451,False
2782,False
4936,False
5027,False
6673,False
5021,False
8336,False
10775,False
151,True
7671,False
11102,False
8357,False
11980,False
6666,False
3476,False
63,True
8277,False
5998,False
2900,False
620,True
872,True
9652,False
718,True
11151,False
3044,False
5515,False
8576,False
9248,False
5811,False
10885,False
711,True
6321,False
10645,False
7318,False
1642,True
3594,False
1978,True
6269,False
1185,True
10505,False
3736,False
5318,False
7158,False
10653,False
7111,False
3083,False
7890,False
5848,False
8657,False
6749,False
6590,False
5402,False
6719,False
5236,False
11637,False
10743,False
2192,False
2694,False
4026,False
9435,False
11493,False
1692,True
10663,False
11959,False
2831,False
6504,False
251,True
9025,False
10478,False
7090,False
5696,False
6912,False
40,True
10727,False
7147,False
2426,False
9176,False
11392,False
161,True
443,True
5304,False
4701,False
5046,False
1709,True
9065,False
8734,False
3003,False
6901,False
11394,False
4548,False
6342,False
9986,False
11895,False
3569,False
3388,False
4404,False
11580,False
8260,False
10323,False
6695,False
4092,False
236,True
5379,False
4931,False
9577,False
8105,False
10055,False
11710,False
8263,False
5228,False
1534,True
4916,False
9503,False
279,True
5675,False
2347,False
8298,False
2187,False
10072,False
4089,False
3482,False
2671,False
3724,False
2624,False
6786,False
794,True
568,True
453,True
830,True
4794,False
3795,False
7669,False
10955,False
8830,False
6799,False
10792,False
3597,False
4296,False
6357,False
10065,False
10733,False
2297,False
11978,False
10165,False
11913,False
4984,False
9042,False
4778,False
8038,False
4097,False
10558,False
8323,False
1069,True
8920,False
10905,False
1102,True
6915,False
8824,False
4478,False
3461,False
3199,False
5364,False
5145,False
3846,False
9102,False
7355,False
8003,False
6465,False
11356,False
4084,False
4542,False
4557,False
7648,False
9214,False
1312,True
219,True
4860,False
1528,True
3088,False
6070,False
4368,False
10937,False
9202,False
6368,False
9187,False
5159,False
11311,False
4057,False
924,True
324,True
2704,False
11603,False
7938,False
7397,False
4821,False
7552,False
9417,False
1861,True
9161,False
10274,False
935,True
11884,False
3986,False
7419,False
7025,False
11619,False
6365,False
6995,False
7112,False
10214,False
9737,False
4565,False
2682,False
8794,False
6134,False
3413,False
8083,False
8143,False
5850,False
7756,False
7059,False
11111,False
8762,False
11517,False
5851,False
1964,True
6400,False
5306,False
8649,False
7817,False
9231,False
5672,False
11948,False
10578,False
5736,False
3268,False
7952,False
4642,False
71,True
11547,False
152,True
1726,True
6133,False
3298,False
11491,False
6193,False
6288,False
427,True
11798,False
8247,False
2588,False
5181,False
11730,False
2621,False
6617,False
3685,False
6873,False
6805,False
9884,False
710,True
2259,False
8667,False
3377,False
1613,True
6929,False
8806,False
2281,False
10225,False
10647,False
6441,False
5164,False
9366,False
5883,False
2157,False
5329,False
10314,False
435,True
5503,False
1527,True
6951,False
4902,False
2098,False
9793,False
7297,False
1688,True
3282,False
5193,False
6244,False
5722,False
3727,False
10040,False
9223,False
7762,False
10128,False
4763,False
4528,False
8016,False
8604,False
11866,False
350,True
1827,True
10057,False
11105,False
5679,False
1301,True
2696,False
11271,False
1143,True
4259,False
7587,False
11328,False
3242,False
3248,False
11703,False
196,True
11962,False
2306,False
9158,False
2038,False
226,True
5341,False
5977,False
9776,False
666,True
1876,True
7357,False
8978,False
8565,False
5580,False
9191,False
9404,False
1214,True
10739,False
8368,False
11635,False
4045,False
1067,True
96,True
3810,False
1586,True
3070,False
247,True
5939,False
764,True
382,True
4055,False
10238,False
1429,True
10334,False
6536,False
960,True
20,True
11083,False
724,True
5100,False
6832,False
4450,False
7040,False
6017,False
4425,False
6657,False
6426,False
8664,False
1156,True
4725,False
9846,False
5581,False
6382,False
11652,False
11964,False
4,True
7092,False
1138,True
8209,False
5831,False
5800,False
6318,False
9436,False
11164,False
517,True
3153,False
7863,False
5627,False
2054,False
6415,False
2631,False
4131,False
2946,False
177,True
11654,False
1124,True
4034,False
5090,False
11002,False
745,True
10166,False
11528,False
3577,False
5332,False
950,True
11383,False
9319,False
8409,False
10844,False
10498,False
11495,False
9328,False
10261,False
6091,False
11756,False
2384,False
4414,False
7805,False
10576,False
10764,False
3956,False
8012,False
10293,False
2735,False
1958,True
10298,False
8230,False
815,True
5836,False
8934,False
3908,False
3171,False
1354,True
7929,False
896,True
11218,False
6668,False
5112,False
1661,True
9045,False
3941,False
4361,False
10100,False
133,True
10418,False
8189,False
850,True
9123,False
6731,False
5365,False
8661,False
3800,False
9523,False
5336,False
11168,False
3889,False
1633,True
6614,False
7057,False
1927,True
11504,False
11065,False
7740,False
1708,True
9277,False
8551,False
9817,False
11966,False
5056,False
1191,True
10422,False
6480,False
6928,False
2428,False
10919,False
1095,True
3478,False
11372,False
2910,False
9547,False
10697,False
8196,False
8202,False
9876,False
8906,False
5291,False
1476,True
3528,False
2564,False
8108,False
4247,False
5826,False
9295,False
2812,False
3379,False
5683,False
2483,False
7729,False
2304,False
1774,True
5744,False
3976,False
6385,False
9329,False
6981,False
5368,False
1929,True
2126,False
5199,False
9093,False
4738,False
8141,False
4971,False
2219,False
4755,False
9103,False
9290,False
10978,False
1891,True
898,True
8266,False
2105,False
11503,False
3280,False
7747,False
4077,False
5111,False
5350,False
1889,True
11307,False
5813,False
2227,False
8997,False
9378,False
8935,False
877,True
1255,True
4752,False
8061,False
11877,False
5582,False
3859,False
3561,False
8645,False
7847,False
5613,False
6181,False
4339,False
3789,False
8290,False
2042,False
7537,False
11329,False
11371,False
7987,False
1155,True
4445,False
10509,False
1984,True
9616,False
9731,False
1183,True
2979,False
2668,False
7108,False
7622,False
8190,False
10910,False
11327,False
4899,False
10090,False
4681,False
10692,False
6146,False
10458,False
10256,False
2418,False
5522,False
1678,True
6987,False
11734,False
3864,False
9389,False
973,True
2103,False
928,True
1238,True
9516,False
154,True
9999,False
10107,False
5750,False
9551,False
7271,False
11719,False
11457,False
9701,False
2629,False
4080,False
4049,False
2468,False
9252,False
10348,False
8528,False
7869,False
2167,False
1572,True
8147,False
11431,False
1731,True
10036,False
6156,False
10551,False
9800,False
11432,False
3218,False
9081,False
1121,True
61,True
8358,False
3086,False
7303,False
3642,False
4122,False
7286,False
4815,False
245,True
4335,False
10707,False
437,True
9735,False
4527,False
6827,False
3293,False
464,True
9473,False
9132,False
11581,False
3953,False
10361,False
10953,False
3232,False
7744,False
7698,False
4255,False
4749,False
9094,False
5662,False
1730,True
6284,False
5882,False
8689,False
4477,False
9474,False
11163,False
51,True
4579,False
11470,False
7496,False
10026,False
10208,False
6526,False
3709,False
6118,False
861,True
7796,False
8505,False
8999,False
5572,False
9314,False
4301,False
820,True
7178,False
7628,False
10563,False
11462,False
7264,False
814,True
6778,False
2793,False
2326,False
6934,False
9600,False
2421,False
4714,False
11093,False
2519,False
6178,False
7123,False
9730,False
5814,False
9203,False
10566,False
4797,False
398,True
10222,False
9851,False
318,True
7998,False
2051,False
2425,False
5514,False
3092,False
1825,True
441,True
8541,False
10263,False
11854,False
787,True
6467,False
5822,False
9678,False
1562,True
9502,False
7171,False
10887,False
11183,False
545,True
3056,False
2661,False
10466,False
7218,False
3349,False
4834,False
646,True
2295,False
1040,True
9480,False
9724,False
561,True
6705,False
8294,False
8366,False
4586,False
2963,False
5540,False
3743,False
328,True
6675,False
7598,False
1333,True
11082,False
8736,False
587,True
502,True
8251,False
3052,False
4722,False
6889,False
2132,False
9062,False
8150,False
3662,False
6174,False
5121,False
5187,False
11280,False
769,True
2033,False
4372,False
1718,True
10814,False
2890,False
4180,False
7909,False
556,True
4306,False
811,True
6572,False
9569,False
5536,False
6615,False
9272,False
113,True
11089,False
2741,False
7119,False
2059,False
9023,False
4337,False
7731,False
5600,False
10217,False
11386,False
6837,False
4210,False
2868,False
9121,False
2858,False
7579,False
6986,False
2813,False
4969,False
3866,False
2190,False
2191,False
4928,False
6979,False
11620,False
11001,False
6647,False
4667,False
11448,False
9980,False
11426,False
4145,False
10691,False
9350,False
8523,False
1359,True
1412,True
8197,False
3161,False
635,True
3452,False
2254,False
9354,False
2996,False
6746,False
10625,False
4676,False
952,True
569,True
6487,False
4694,False
3468,False
4771,False
6701,False
1237,True
1253,True
4396,False
955,True
8688,False
6855,False
10184,False
8023,False
7845,False
1771,True
2402,False
9151,False
11132,False
5517,False
6968,False
11257,False
5895,False
2298,False
5246,False
8946,False
6841,False
5481,False
4004,False
945,True
10431,False
8539,False
917,True
11875,False
11645,False
1236,True
1715,True
2748,False
10510,False
5053,False
11853,False
10001,False
3699,False
11091,False
9249,False
4464,False
10009,False
770,True
4576,False
10327,False
731,True
2399,False
3602,False
1132,True
1416,True
11601,False
3598,False
8006,False
289,True
2578,False
10018,False
3366,False
2989,False
6941,False
6476,False
1994,True
2502,False
8370,False
11314,False
9321,False
4069,False
8350,False
6143,False
10732,False
10012,False
1768,True
5919,False
2664,False
6281,False
8340,False
8713,False
1157,True
10312,False
5093,False
2837,False
8782,False
7291,False
7571,False
11071,False
6364,False
4193,False
5867,False
6977,False
789,True
6609,False
5144,False
8010,False
6387,False
10255,False
10740,False
967,True
8439,False
10497,False
8412,False
3526,False
1406,True
11872,False
6687,False
10720,False
9051,False
8953,False
5298,False
5141,False
11016,False
1710,True
4072,False
8796,False
6358,False
7665,False
7656,False
8009,False
8125,False
10724,False
10813,False
2919,False
8751,False
7216,False
4680,False
7862,False
916,True
6270,False
8580,False
3212,False
10443,False
9183,False
6490,False
11973,False
3954,False
4218,False
9783,False
4235,False
1793,True
4578,False
6794,False
8261,False
7336,False
11868,False
8480,False
5609,False
11679,False
7098,False
3277,False
6812,False
5585,False
1229,True
232,True
5119,False
4325,False
11806,False
1778,True
3271,False
4965,False
10183,False
7135,False
1275,True
9356,False
8400,False
6266,False
1176,True
6708,False
4690,False
1101,True
6442,False
10714,False
7364,False
9685,False
1897,True
3387,False
3678,False
11965,False
2241,False
3460,False
6313,False
4063,False
1541,True
6784,False
10630,False
45,True
1226,True
8783,False
10897,False
11243,False
6890,False
3303,False
8676,False
5699,False
9656,False
11059,False
