Country,Type,Gas,year,Emissions (kt CO eq),Difference in Emissions,% Difference in Emissions,Absolute change since 1990,Percentage change since 1990,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,76568,5405352,7.60%,8227049,12.00%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,83582,7013531,9.20%,15240580,22.30%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,84344,762680,0.90%,16003260,23.40%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,77059,-7285014,-8.60%,8718246,12.80%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,74456,-2602897,-3.40%,6115349,8.90%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,67495,-6961845,-9.40%,-846496,-1.20%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,69824,2329290,3.50%,1482794,2.20%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,76603,6778607,9.70%,8261401,12.10%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,76462,-140812,-0.20%,8120589,11.90%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,71495,-4967017,-6.50%,3153572,4.60%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,74900,3404900,4.80%,6558472,9.60%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,75595,695154,0.90%,7253626,10.60%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,81587,5992152,7.90%,13245778,19.40%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,86717,5129750,6.30%,18375528,26.90%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,85473,-1244025,-1.40%,17131503,25.10%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,69285,-16188008,-18.90%,943495,1.40%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,67563,-1721545,-2.50%,-778051,-1.10%,,
Austria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,70387,2823680,4.20%,2045629,3.00%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1990,11349,-59038256,-83.90%,0,0.00%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1991,11229,-119566,-1.10%,-119566,-1.10%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1992,10922,-306598,-2.70%,-426163,-3.80%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1993,10966,43395,0.40%,-382768,-3.40%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1994,10634,-331651,-3.00%,-714419,-6.30%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1995,10542,-91813,-0.90%,-806232,-7.10%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1996,10197,-345358,-3.30%,-1151590,-10.10%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1997,9866,-330637,-3.20%,-1482227,-13.10%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1998,9678,-187830,-1.90%,-1670057,-14.70%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1999,9480,-198241,-2.00%,-1868297,-16.50%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2000,9246,-234028,-2.50%,-2102326,-18.50%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2001,9050,-196294,-2.10%,-2298620,-20.30%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2002,8893,-156546,-1.70%,-2455166,-21.60%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2003,8813,-80143,-0.90%,-2535309,-22.30%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2004,8808,-5105,-0.10%,-2540414,-22.40%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2005,8547,-260973,-3.00%,-2801387,-24.70%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2006,8428,-119266,-1.40%,-2920653,-25.70%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2007,8308,-119749,-1.40%,-3040402,-26.80%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2008,8160,-147699,-1.80%,-3188102,-28.10%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2009,8052,-108044,-1.30%,-3296146,-29.00%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2010,7945,-107643,-1.30%,-3403788,-30.00%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2011,7712,-232811,-2.90%,-3636600,-32.00%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2012,7579,-132721,-1.70%,-3769321,-33.20%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2013,7459,-119914,-1.60%,-3889235,-34.30%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2014,7302,-157202,-2.10%,-4046436,-35.70%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2015,7216,-86074,-1.20%,-4132511,-36.40%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2016,7138,-78349,-1.10%,-4210860,-37.10%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2017,7108,-29861,-0.40%,-4240721,-37.40%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2018,6880,-227532,-3.20%,-4468253,-39.40%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2019,6738,-142226,-2.10%,-4610479,-40.60%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2020,6634,-104270,-1.50%,-4714749,-41.50%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2021,6649,15472,0.20%,-4699277,-41.40%,,
Austria,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2022,6526,-123135,-1.90%,-4822413,-42.50%,,
Austria,Total net emissions with international transport (EEA),CO2,1990,51258,44732071,685.40%,0,0.00%,,
Austria,Total net emissions with international transport (EEA),CO2,1991,47950,-3307804,-6.50%,-3307804,-6.50%,,
Austria,Total net emissions with international transport (EEA),CO2,1992,52197,4246800,8.90%,938997,1.80%,,
Austria,Total net emissions with international transport (EEA),CO2,1993,45134,-7063443,-13.50%,-6124446,-11.90%,,
Austria,Total net emissions with international transport (EEA),CO2,1994,52939,7804866,17.30%,1680421,3.30%,,
Austria,Total net emissions with international transport (EEA),CO2,1995,45945,-6993894,-13.20%,-5313474,-10.40%,,
Austria,Total net emissions with international transport (EEA),CO2,1996,50327,4382127,9.50%,-931347,-1.80%,,
Austria,Total net emissions with international transport (EEA),CO2,1997,46443,-3883414,-7.70%,-4814762,-9.40%,,
Austria,Total net emissions with international transport (EEA),CO2,1998,49545,3101922,6.70%,-1712840,-3.30%,,
Austria,Total net emissions with international transport (EEA),CO2,1999,47002,-2542979,-5.10%,-4255818,-8.30%,,
Austria,Total net emissions with international transport (EEA),CO2,2000,53824,6821153,14.50%,2565334,5.00%,,
Austria,Total net emissions with international transport (EEA),CO2,2001,42627,-11196441,-20.80%,-8631107,-16.80%,,
Austria,Total net emissions with international transport (EEA),CO2,2002,60568,17941212,42.10%,9310106,18.20%,,
Austria,Total net emissions with international transport (EEA),CO2,2003,63769,3200492,5.30%,12510598,24.40%,,
Austria,Total net emissions with international transport (EEA),CO2,2004,57228,-6540445,-10.30%,5970153,11.60%,,
Austria,Total net emissions with international transport (EEA),CO2,2005,62867,5639169,9.90%,11609322,22.60%,,
Austria,Total net emissions with international transport (EEA),CO2,2006,70012,7144872,11.40%,18754194,36.60%,,
Austria,Total net emissions with international transport (EEA),CO2,2007,70837,824543,1.20%,19578737,38.20%,,
Austria,Total net emissions with international transport (EEA),CO2,2008,63517,-7320247,-10.30%,12258490,23.90%,,
Austria,Total net emissions with international transport (EEA),CO2,2009,61352,-2165114,-3.40%,10093376,19.70%,,
Austria,Total net emissions with international transport (EEA),CO2,2010,54519,-6832549,-11.10%,3260827,6.40%,,
Austria,Total net emissions with international transport (EEA),CO2,2011,56928,2409233,4.40%,5670060,11.10%,,
Austria,Total net emissions with international transport (EEA),CO2,2012,63799,6870278,12.10%,12540338,24.50%,,
Austria,Total net emissions with international transport (EEA),CO2,2013,63731,-67119,-0.10%,12473219,24.30%,,
Austria,Total net emissions with international transport (EEA),CO2,2014,58755,-4976843,-7.80%,7496376,14.60%,,
Austria,Total net emissions with international transport (EEA),CO2,2015,62137,3382849,5.80%,10879225,21.20%,,
Austria,Total net emissions with international transport (EEA),CO2,2016,62767,629127,1.00%,11508352,22.50%,,
Austria,Total net emissions with international transport (EEA),CO2,2017,68808,6041796,9.60%,17550147,34.20%,,
Austria,Total net emissions with international transport (EEA),CO2,2018,74194,5385368,7.80%,22935515,44.70%,,
Austria,Total net emissions with international transport (EEA),CO2,2019,73177,-1016249,-1.40%,21919266,42.80%,,
Austria,Total net emissions with international transport (EEA),CO2,2020,57263,-15914480,-21.70%,6004786,11.70%,,
Austria,Total net emissions with international transport (EEA),CO2,2021,55793,-1469615,-2.60%,4535171,8.80%,,
Austria,Total net emissions with international transport (EEA),CO2,2022,58860,3066418,5.50%,7601589,14.80%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1990,1550,-57309728,-97.40%,0,0.00%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1991,1708,158057,10.20%,158057,10.20%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1992,1140,-568049,-33.30%,-409992,-26.50%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1993,1039,-101001,-8.90%,-510993,-33.00%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1994,1256,217263,20.90%,-293730,-18.90%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1995,1539,283013,22.50%,-10718,-0.70%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1996,1684,144739,9.40%,134021,8.60%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1997,1714,30292,1.80%,164314,10.60%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1998,1522,-192603,-11.20%,-28289,-1.80%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1999,1434,-87403,-5.70%,-115692,-7.50%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2000,1360,-74405,-5.20%,-190097,-12.30%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2001,1575,215223,15.80%,25126,1.60%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2002,1695,119896,7.60%,145023,9.40%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2003,1732,37048,2.20%,182071,11.70%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2004,1768,35945,2.10%,218016,14.10%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2005,1794,26077,1.50%,244092,15.70%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2006,1774,-20519,-1.10%,223573,14.40%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2007,1812,38177,2.20%,261750,16.90%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2008,1839,26956,1.50%,288706,18.60%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2009,1708,-130565,-7.10%,158141,10.20%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2010,1854,146027,8.50%,304168,19.60%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2011,1914,59750,3.20%,363918,23.50%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2012,1982,68094,3.60%,432012,27.90%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2013,2046,64352,3.20%,496364,32.00%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2014,2134,87469,4.30%,583833,37.70%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2015,2227,92678,4.30%,676511,43.60%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2016,2285,58148,2.60%,734660,47.40%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2017,2321,36046,1.60%,770705,49.70%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2018,2333,12541,0.50%,783246,50.50%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2019,2252,-80914,-3.50%,702333,45.30%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2020,2143,-109168,-4.80%,593164,38.30%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2021,1837,-305969,-14.30%,287195,18.50%,,
Austria,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2022,1816,-20810,-1.10%,266385,17.20%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1990,2,-1814377,-99.90%,0,0.00%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1991,3,1216,59.60%,1216,59.60%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1992,5,1460,44.80%,2676,131.00%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1993,215,210156,4453.80%,212832,10421.30%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1994,237,22036,10.30%,234868,11500.30%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1995,324,87220,36.80%,322088,15771.00%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1996,391,67001,20.70%,389089,19051.70%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1997,474,82850,21.20%,471939,23108.40%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1998,566,92077,19.40%,564016,27617.00%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1999,658,91849,16.20%,655865,32114.40%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2000,678,20420,3.10%,676285,33114.20%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2001,811,132215,19.50%,808499,39588.10%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2002,960,149481,18.40%,957980,46907.40%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2003,1030,70005,7.30%,1027985,50335.20%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2004,1099,69253,6.70%,1097239,53726.20%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2005,1109,9650,0.90%,1106889,54198.70%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2006,1119,10324,0.90%,1117213,54704.20%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2007,1169,49958,4.50%,1167170,57150.30%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2008,1215,46089,3.90%,1213259,59407.10%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2009,1319,103825,8.50%,1317084,64490.90%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2010,1434,114526,8.70%,1431610,70098.60%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2011,1527,93244,6.50%,1524854,74664.30%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2012,1607,79716,5.20%,1604570,78567.60%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2013,1678,71308,4.40%,1675877,82059.10%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2014,1752,74394,4.40%,1750271,85701.80%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2015,1850,97659,5.60%,1847930,90483.70%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2016,1828,-21627,-1.20%,1826303,89424.70%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2017,1857,29113,1.60%,1855416,90850.20%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2018,1890,32732,1.80%,1888148,92453.00%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2019,1755,-135172,-7.20%,1752977,85834.30%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2020,1650,-104743,-6.00%,1648234,80705.60%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2021,1431,-219077,-13.30%,1429157,69978.50%,,
Austria,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2022,1411,-20113,-1.40%,1409044,68993.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1990,4184,2773334,196.50%,0,0.00%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1991,4213,28643,0.70%,28643,0.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1992,4022,-191400,-4.50%,-162757,-3.90%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1993,4031,8942,0.20%,-153816,-3.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1994,3978,-52882,-1.30%,-206697,-4.90%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1995,4035,57640,1.40%,-149057,-3.60%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1996,4049,13330,0.30%,-135727,-3.20%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1997,4056,7192,0.20%,-128535,-3.10%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1998,4093,37298,0.90%,-91237,-2.20%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1999,4067,-25795,-0.60%,-117032,-2.80%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2000,4040,-27423,-0.70%,-144455,-3.50%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2001,3917,-123153,-3.00%,-267608,-6.40%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2002,3905,-11512,-0.30%,-279120,-6.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2003,3888,-17238,-0.40%,-296358,-7.10%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2004,3358,-529699,-13.60%,-826057,-19.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2005,3359,1079,0.00%,-824978,-19.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2006,3368,8444,0.30%,-816534,-19.50%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2007,3388,19709,0.60%,-796825,-19.00%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2008,3544,155976,4.60%,-640849,-15.30%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2009,3344,-199174,-5.60%,-840023,-20.10%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2010,3177,-167679,-5.00%,-1007702,-24.10%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2011,3270,93118,2.90%,-914584,-21.90%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2012,3243,-27044,-0.80%,-941628,-22.50%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2013,3225,-18131,-0.60%,-959759,-22.90%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2014,3304,79557,2.50%,-880202,-21.00%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2015,3320,15448,0.50%,-864754,-20.70%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2016,3406,86228,2.60%,-778526,-18.60%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2017,3350,-55828,-1.60%,-834354,-19.90%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2018,3309,-40627,-1.20%,-874981,-20.90%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2019,3305,-4636,-0.10%,-879617,-21.00%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2020,3245,-60089,-1.80%,-939706,-22.50%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2021,3283,38567,1.20%,-901139,-21.50%,,
Austria,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2022,3184,-98793,-3.00%,-999932,-23.90%,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1990,,-3184488,-100.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1991,,0,0.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1992,,0,0.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1993,,0,0.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1994,1,710,0.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1995,6,5318,749.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1996,7,1391,23.10%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1997,15,7115,95.90%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1998,9,-5706,-39.30%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1999,8,-1118,-12.70%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2000,10,2127,27.60%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2001,10,0,0.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2002,10,0,0.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2003,20,10340,105.10%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2004,25,4665,23.10%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2005,26,1513,6.10%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2006,31,4283,16.20%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2007,56,24955,81.50%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2008,50,-5542,-10.00%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2009,4,-45801,-91.50%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2010,4,-398,-9.40%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2011,4,-13,-0.30%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2012,8,4176,108.80%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2013,9,1113,13.90%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2014,10,758,8.30%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2015,13,2711,27.40%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2016,6,-6851,-54.40%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2017,11,5490,95.50%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2018,15,4218,37.50%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2019,13,-2721,-17.60%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2020,11,-1465,-11.50%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2021,12,692,6.10%,,,,
Austria,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2022,14,2167,18.10%,,,,
Austria,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1990,1063,1048806,7423.00%,0,0.00%,,
Austria,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1991,1072,8901,0.80%,8901,0.80%,,
Austria,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1992,459,-612933,-57.20%,-604032,-56.80%,,
Austria,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1993,57,-401581,-87.50%,-1005613,-94.60%,,
