Country,Type,Gas,year,Emissions per capita,Difference in Emissions per capita,% Difference in Emissions per capita,Absolute change since 1990 (per capita),Percentage change since 1990 (per capita)
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,5.64,-0.88,-13.45%,-3.79,-40.17%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,6.58,0.95,16.77%,-2.84,-30.14%
Bulgaria,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,7.49,0.91,13.76%,-1.93,-20.53%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,5.51,-1.98,-26.39%,0,0.00%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,3.86,-1.65,-29.98%,-1.65,-29.98%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,3.52,-0.34,-8.80%,-1.99,-36.14%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,3.49,-0.03,-0.86%,-2.02,-36.69%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,3.25,-0.24,-6.92%,-2.26,-41.07%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,3.3,0.05,1.66%,-2.21,-40.09%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,3.54,0.23,7.10%,-1.98,-35.84%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,3.99,0.46,12.88%,-1.52,-27.58%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,4.08,0.09,2.17%,-1.43,-26.00%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,4.21,0.13,3.30%,-1.3,-23.56%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,4.49,0.27,6.52%,-1.02,-18.58%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,4.66,0.17,3.87%,-0.85,-15.42%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,4.85,0.18,3.92%,-0.67,-12.11%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,5.38,0.53,10.94%,-0.14,-2.50%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,5.3,-0.07,-1.37%,-0.21,-3.83%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,5.37,0.07,1.32%,-0.14,-2.57%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,5.51,0.14,2.60%,0,-0.04%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,6.13,0.62,11.24%,0.62,11.20%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,5.89,-0.24,-3.87%,0.38,6.89%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,5.37,-0.52,-8.79%,-0.14,-2.51%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,5.34,-0.04,-0.72%,-0.18,-3.21%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,5.62,0.29,5.39%,0.11,2.01%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,5.35,-0.28,-4.90%,-0.16,-2.99%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,4.87,-0.47,-8.86%,-0.64,-11.59%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,4.77,-0.1,-2.11%,-0.74,-13.46%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,4.99,0.22,4.58%,-0.52,-9.49%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,5.09,0.1,1.93%,-0.43,-7.75%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,5.57,0.48,9.43%,0.05,0.95%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,5.24,-0.33,-5.89%,-0.28,-5.00%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,5.23,0,-0.09%,-0.28,-5.08%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,4.9,-0.33,-6.29%,-0.61,-11.05%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,5.14,0.23,4.79%,-0.37,-6.79%
Croatia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,5.56,0.42,8.24%,0.05,0.89%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,10.92,5.36,96.36%,0,0.00%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,11.68,0.76,6.97%,0.76,6.97%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,12.06,0.38,3.22%,1.14,10.42%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,11.98,-0.08,-0.65%,1.06,9.70%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,12.21,0.23,1.94%,1.29,11.83%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,12.01,-0.2,-1.64%,1.09,10.00%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,12.43,0.42,3.48%,1.51,13.83%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,12.42,-0.01,-0.09%,1.5,13.72%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,12.79,0.37,2.95%,1.87,17.08%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,13.33,0.54,4.21%,2.4,22.01%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,13.86,0.53,3.97%,2.93,26.86%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,13.79,-0.07,-0.50%,2.86,26.23%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,13.63,-0.16,-1.17%,2.7,24.75%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,14.02,0.4,2.91%,3.1,28.38%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,13.7,-0.32,-2.31%,2.78,25.41%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,14.6,0.91,6.61%,3.68,33.70%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,14.72,0.12,0.80%,3.8,34.77%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,14.79,0.07,0.50%,3.87,35.45%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,14.58,-0.22,-1.48%,3.65,33.45%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,13.67,-0.91,-6.22%,2.75,25.15%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,12.82,-0.84,-6.17%,1.9,17.42%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,12.18,-0.64,-4.99%,1.26,11.56%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,11.35,-0.83,-6.84%,0.43,3.93%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,10.65,-0.7,-6.18%,-0.27,-2.50%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,11.18,0.53,4.95%,0.25,2.33%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,11.31,0.13,1.19%,0.39,3.55%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,12.2,0.89,7.88%,1.28,11.71%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,12.17,-0.03,-0.25%,1.25,11.43%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,12.02,-0.15,-1.26%,1.1,10.03%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,11.94,-0.08,-0.68%,1.01,9.29%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,10.58,-1.35,-11.35%,-0.34,-3.11%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,10.95,0.37,3.49%,0.03,0.26%
Cyprus,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,11.17,0.22,2.00%,0.25,2.26%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,18.69,7.52,67.35%,0,0.00%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,16.76,-1.93,-10.35%,-1.93,-10.35%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,16.15,-0.61,-3.64%,-2.54,-13.61%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,15.38,-0.77,-4.75%,-3.31,-17.71%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,14.65,-0.73,-4.74%,-4.04,-21.61%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,14.54,-0.11,-0.77%,-4.15,-22.22%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,14.88,0.34,2.33%,-3.81,-20.40%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,14.56,-0.32,-2.15%,-4.13,-22.12%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,14.01,-0.54,-3.74%,-4.68,-25.03%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,13.02,-0.99,-7.08%,-5.67,-30.34%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,13.99,0.97,7.42%,-4.7,-25.17%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,14.01,0.02,0.18%,-4.68,-25.03%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,13.68,-0.33,-2.35%,-5.01,-26.80%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,14.05,0.37,2.68%,-4.64,-24.84%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,14.19,0.14,1.02%,-4.5,-24.07%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,13.97,-0.22,-1.54%,-4.72,-25.24%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,14.18,0.2,1.46%,-4.51,-24.14%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,14.29,0.11,0.76%,-4.41,-23.57%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,13.56,-0.73,-5.08%,-5.13,-27.46%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,12.56,-1,-7.37%,-6.13,-32.80%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,12.87,0.31,2.44%,-5.83,-31.16%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,12.64,-0.22,-1.74%,-6.05,-32.36%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,12.22,-0.42,-3.33%,-6.47,-34.61%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,11.75,-0.47,-3.83%,-6.94,-37.12%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,11.54,-0.21,-1.82%,-7.15,-38.26%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,11.67,0.13,1.15%,-7.02,-37.55%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,11.89,0.21,1.83%,-6.81,-36.41%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,12.09,0.21,1.74%,-6.6,-35.30%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,12.39,0.3,2.49%,-6.3,-33.70%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,12.4,0.01,0.08%,-6.29,-33.64%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,11.6,-0.8,-6.48%,-7.09,-37.94%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,12.04,0.44,3.79%,-6.65,-35.59%
Czechia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,11.42,-0.62,-5.14%,-7.27,-38.90%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,16.17,4.75,41.62%,0,0.00%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,18,1.82,11.27%,1.82,11.27%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,17.01,-0.99,-5.49%,0.84,5.17%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,17.41,0.41,2.38%,1.24,7.67%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,18.15,0.74,4.24%,1.98,12.24%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,17.59,-0.56,-3.08%,1.42,8.78%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,19.82,2.22,12.64%,3.64,22.53%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,17.94,-1.88,-9.47%,1.77,10.93%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,17.14,-0.8,-4.46%,0.97,5.98%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,16.6,-0.54,-3.15%,0.43,2.64%
